tanggal;bulan;tahun;nilai;nama;kategori
2020-05-10;Mei;2020;14032;Terkonfirmasi (orang);Terkonfirmasi
2020-05-11;Mei;2020;14265;Terkonfirmasi (orang);Terkonfirmasi
2020-05-12;Mei;2020;14749;Terkonfirmasi (orang);Terkonfirmasi
2020-05-13;Mei;2020;15438;Terkonfirmasi (orang);Terkonfirmasi
2020-05-14;Mei;2020;16006;Terkonfirmasi (orang);Terkonfirmasi
2020-05-15;Mei;2020;16496;Terkonfirmasi (orang);Terkonfirmasi
2020-05-16;Mei;2020;17025;Terkonfirmasi (orang);Terkonfirmasi
2020-05-17;Mei;2020;17514;Terkonfirmasi (orang);Terkonfirmasi
2020-05-18;Mei;2020;18010;Terkonfirmasi (orang);Terkonfirmasi
2020-05-19;Mei;2020;18496;Terkonfirmasi (orang);Terkonfirmasi
2020-05-20;Mei;2020;19189;Terkonfirmasi (orang);Terkonfirmasi
2020-05-21;Mei;2020;20162;Terkonfirmasi (orang);Terkonfirmasi
2020-05-22;Mei;2020;20796;Terkonfirmasi (orang);Terkonfirmasi
2020-05-23;Mei;2020;21745;Terkonfirmasi (orang);Terkonfirmasi
2020-05-24;Mei;2020;22271;Terkonfirmasi (orang);Terkonfirmasi
2020-05-25;Mei;2020;22750;Terkonfirmasi (orang);Terkonfirmasi
2020-05-26;Mei;2020;23165;Terkonfirmasi (orang);Terkonfirmasi
2020-05-27;Mei;2020;23851;Terkonfirmasi (orang);Terkonfirmasi
2020-05-28;Mei;2020;24538;Terkonfirmasi (orang);Terkonfirmasi
2020-05-29;Mei;2020;25216;Terkonfirmasi (orang);Terkonfirmasi
2020-05-30;Mei;2020;25773;Terkonfirmasi (orang);Terkonfirmasi
2020-05-31;Mei;2020;26473;Terkonfirmasi (orang);Terkonfirmasi
2020-06-01;Juni;2020;26940;Terkonfirmasi (orang);Terkonfirmasi
2020-06-02;Juni;2020;27549;Terkonfirmasi (orang);Terkonfirmasi
2020-06-03;Juni;2020;28233;Terkonfirmasi (orang);Terkonfirmasi
2020-06-04;Juni;2020;28818;Terkonfirmasi (orang);Terkonfirmasi
2020-06-05;Juni;2020;29521;Terkonfirmasi (orang);Terkonfirmasi
2020-06-06;Juni;2020;30514;Terkonfirmasi (orang);Terkonfirmasi
2020-06-07;Juni;2020;31186;Terkonfirmasi (orang);Terkonfirmasi
2020-06-08;Juni;2020;32033;Terkonfirmasi (orang);Terkonfirmasi
2020-06-09;Juni;2020;33076;Terkonfirmasi (orang);Terkonfirmasi
2020-06-10;Juni;2020;34316;Terkonfirmasi (orang);Terkonfirmasi
2020-06-11;Juni;2020;35295;Terkonfirmasi (orang);Terkonfirmasi
2020-06-12;Juni;2020;36406;Terkonfirmasi (orang);Terkonfirmasi
2020-06-13;Juni;2020;37420;Terkonfirmasi (orang);Terkonfirmasi
2020-06-14;Juni;2020;38277;Terkonfirmasi (orang);Terkonfirmasi
2020-06-15;Juni;2020;39294;Terkonfirmasi (orang);Terkonfirmasi
2020-06-16;Juni;2020;40400;Terkonfirmasi (orang);Terkonfirmasi
2020-06-17;Juni;2020;41431;Terkonfirmasi (orang);Terkonfirmasi
2020-06-18;Juni;2020;42762;Terkonfirmasi (orang);Terkonfirmasi
2020-06-19;Juni;2020;43803;Terkonfirmasi (orang);Terkonfirmasi
2020-06-20;Juni;2020;45029;Terkonfirmasi (orang);Terkonfirmasi
2020-06-21;Juni;2020;45891;Terkonfirmasi (orang);Terkonfirmasi
2020-06-22;Juni;2020;46845;Terkonfirmasi (orang);Terkonfirmasi
2020-06-23;Juni;2020;47896;Terkonfirmasi (orang);Terkonfirmasi
2020-06-24;Juni;2020;49009;Terkonfirmasi (orang);Terkonfirmasi
2020-06-25;Juni;2020;50187;Terkonfirmasi (orang);Terkonfirmasi
2020-06-26;Juni;2020;51427;Terkonfirmasi (orang);Terkonfirmasi
2020-06-27;Juni;2020;52812;Terkonfirmasi (orang);Terkonfirmasi
2020-06-28;Juni;2020;54010;Terkonfirmasi (orang);Terkonfirmasi
2020-06-29;Juni;2020;55092;Terkonfirmasi (orang);Terkonfirmasi
2020-06-30;Juni;2020;56385;Terkonfirmasi (orang);Terkonfirmasi
