tanggal;bulan;tahun;nilai;nama;kategori
2020-08-26;Agustus;2020;2542;Sembuh (orang/hari);Sembuh Harian
2020-08-27;Agustus;2020;3166;Sembuh (orang/hari);Sembuh Harian
2020-08-28;Agustus;2020;2325;Sembuh (orang/hari);Sembuh Harian
2020-08-29;Agustus;2020;1902;Sembuh (orang/hari);Sembuh Harian
2020-08-30;Agustus;2020;1383;Sembuh (orang/hari);Sembuh Harian
2020-08-31;Agustus;2020;1774;Sembuh (orang/hari);Sembuh Harian
2020-02-29;Pebruari;2020;333;Diperiksa (orang);Diperiksa
2020-03-01;Maret;2020;339;Diperiksa (orang);Diperiksa
2020-03-02;Maret;2020;341;Diperiksa (orang);Diperiksa
2020-03-03;Maret;2020;372;Diperiksa (orang);Diperiksa
2020-03-04;Maret;2020;388;Diperiksa (orang);Diperiksa
2020-03-05;Maret;2020;450;Diperiksa (orang);Diperiksa
2020-03-06;Maret;2020;454;Diperiksa (orang);Diperiksa
2020-03-07;Maret;2020;483;Diperiksa (orang);Diperiksa
2020-03-08;Maret;2020;543;Diperiksa (orang);Diperiksa
2020-03-09;Maret;2020;694;Diperiksa (orang);Diperiksa
2020-03-10;Maret;2020;793;Diperiksa (orang);Diperiksa
2020-03-11;Maret;2020;862;Diperiksa (orang);Diperiksa
2020-03-12;Maret;2020;970;Diperiksa (orang);Diperiksa
2020-03-13;Maret;2020;1198;Diperiksa (orang);Diperiksa
2020-03-14;Maret;2020;1272;Diperiksa (orang);Diperiksa
2020-03-15;Maret;2020;1138;Diperiksa (orang);Diperiksa
2020-03-16;Maret;2020;1230;Diperiksa (orang);Diperiksa
2020-03-17;Maret;2020;1372;Diperiksa (orang);Diperiksa
2020-03-18;Maret;2020;1592;Diperiksa (orang);Diperiksa
2020-03-19;Maret;2020;1898;Diperiksa (orang);Diperiksa
2020-03-20;Maret;2020;2028;Diperiksa (orang);Diperiksa
2020-03-21;Maret;2020;2365;Diperiksa (orang);Diperiksa
2020-03-22;Maret;2020;2438;Diperiksa (orang);Diperiksa
2020-03-23;Maret;2020;2756;Diperiksa (orang);Diperiksa
2020-03-24;Maret;2020;3332;Diperiksa (orang);Diperiksa
2020-03-25;Maret;2020;3856;Diperiksa (orang);Diperiksa
2020-03-26;Maret;2020;4336;Diperiksa (orang);Diperiksa
2020-03-27;Maret;2020;5775;Diperiksa (orang);Diperiksa
2020-03-28;Maret;2020;6266;Diperiksa (orang);Diperiksa
2020-03-29;Maret;2020;6534;Diperiksa (orang);Diperiksa
2020-03-30;Maret;2020;6663;Diperiksa (orang);Diperiksa
2020-03-31;Maret;2020;6777;Diperiksa (orang);Diperiksa
2020-04-01;April;2020;7193;Diperiksa (orang);Diperiksa
2020-04-02;April;2020;7425;Diperiksa (orang);Diperiksa
2020-04-03;April;2020;7986;Diperiksa (orang);Diperiksa
2020-04-04;April;2020;9712;Diperiksa (orang);Diperiksa
2020-04-05;April;2020;11242;Diperiksa (orang);Diperiksa
2020-04-06;April;2020;13186;Diperiksa (orang);Diperiksa
2020-04-07;April;2020;14353;Diperiksa (orang);Diperiksa
2020-04-08;April;2020;16511;Diperiksa (orang);Diperiksa
2020-04-09;April;2020;17679;Diperiksa (orang);Diperiksa
2020-04-10;April;2020;19452;Diperiksa (orang);Diperiksa
2020-04-11;April;2020;19964;Diperiksa (orang);Diperiksa
2020-04-12;April;2020;27075;Diperiksa (orang);Diperiksa
2020-04-13;April;2020;27953;Diperiksa (orang);Diperiksa
2020-04-14;April;2020;31628;Diperiksa (orang);Diperiksa
2020-04-15;April;2020;33001;Diperiksa (orang);Diperiksa
2020-04-16;April;2020;34975;Diperiksa (orang);Diperiksa
2020-04-17;April;2020;37134;Diperiksa (orang);Diperiksa
2020-04-18;April;2020;39422;Diperiksa (orang);Diperiksa
2020-04-19;April;2020;42219;Diperiksa (orang);Diperiksa
2020-04-20;April;2020;43749;Diperiksa (orang);Diperiksa
2020-04-21;April;2020;46173;Diperiksa (orang);Diperiksa
2020-04-22;April;2020;47361;Diperiksa (orang);Diperiksa
2020-04-23;April;2020;48647;Diperiksa (orang);Diperiksa
2020-04-24;April;2020;50563;Diperiksa (orang);Diperiksa
2020-04-25;April;2020;52541;Diperiksa (orang);Diperiksa
2020-04-26;April;2020;56974;Diperiksa (orang);Diperiksa
2020-04-27;April;2020;59409;Diperiksa (orang);Diperiksa
2020-04-28;April;2020;62544;Diperiksa (orang);Diperiksa
2020-04-29;April;2020;67784;Diperiksa (orang);Diperiksa
2020-04-30;April;2020;72351;Diperiksa (orang);Diperiksa
2020-05-01;Mei;2020;76538;Diperiksa (orang);Diperiksa
2020-05-02;Mei;2020;79868;Diperiksa (orang);Diperiksa
2020-05-03;Mei;2020;83012;Diperiksa (orang);Diperiksa
2020-05-04;Mei;2020;86061;Diperiksa (orang);Diperiksa
2020-05-05;Mei;2020;88924;Diperiksa (orang);Diperiksa
2020-05-06;Mei;2020;92976;Diperiksa (orang);Diperiksa
2020-05-07;Mei;2020;96717;Diperiksa (orang);Diperiksa
2020-05-08;Mei;2020;103361;Diperiksa (orang);Diperiksa
2020-05-09;Mei;2020;108699;Diperiksa (orang);Diperiksa
2020-05-10;Mei;2020;113452;Diperiksa (orang);Diperiksa
2020-05-11;Mei;2020;116358;Diperiksa (orang);Diperiksa
2020-05-12;Mei;2020;119728;Diperiksa (orang);Diperiksa
2020-05-13;Mei;2020;123572;Diperiksa (orang);Diperiksa
2020-05-14;Mei;2020;127813;Diperiksa (orang);Diperiksa
2020-05-15;Mei;2020;132060;Diperiksa (orang);Diperiksa
2020-05-16;Mei;2020;135726;Diperiksa (orang);Diperiksa
2020-05-17;Mei;2020;140473;Diperiksa (orang);Diperiksa
2020-05-18;Mei;2020;143035;Diperiksa (orang);Diperiksa
2020-05-19;Mei;2020;147799;Diperiksa (orang);Diperiksa
2020-05-20;Mei;2020;154139;Diperiksa (orang);Diperiksa
2020-05-21;Mei;2020;160374;Diperiksa (orang);Diperiksa
2020-05-22;Mei;2020;168969;Diperiksa (orang);Diperiksa
2020-05-23;Mei;2020;176035;Diperiksa (orang);Diperiksa
2020-05-24;Mei;2020;179864;Diperiksa (orang);Diperiksa
2020-05-25;Mei;2020;183192;Diperiksa (orang);Diperiksa
2020-05-26;Mei;2020;188302;Diperiksa (orang);Diperiksa
2020-05-27;Mei;2020;195518;Diperiksa (orang);Diperiksa
2020-05-28;Mei;2020;201311;Diperiksa (orang);Diperiksa
2020-05-29;Mei;2020;205165;Diperiksa (orang);Diperiksa
2020-05-30;Mei;2020;216769;Diperiksa (orang);Diperiksa
2020-05-31;Mei;2020;223624;Diperiksa (orang);Diperiksa
2020-06-01;Juni;2020;232113;Diperiksa (orang);Diperiksa
2020-06-02;Juni;2020;237947;Diperiksa (orang);Diperiksa
2020-06-03;Juni;2020;246433;Diperiksa (orang);Diperiksa
2020-06-04;Juni;2020;251736;Diperiksa (orang);Diperiksa
2020-06-05;Juni;2020;256810;Diperiksa (orang);Diperiksa
2020-06-06;Juni;2020;264740;Diperiksa (orang);Diperiksa
2020-06-07;Juni;2020;269146;Diperiksa (orang);Diperiksa
2020-06-08;Juni;2020;274430;Diperiksa (orang);Diperiksa
2020-06-09;Juni;2020;281653;Diperiksa (orang);Diperiksa
2020-06-10;Juni;2020;287478;Diperiksa (orang);Diperiksa
2020-06-11;Juni;2020;294671;Diperiksa (orang);Diperiksa
2020-06-12;Juni;2020;302147;Diperiksa (orang);Diperiksa
2020-06-13;Juni;2020;313275;Diperiksa (orang);Diperiksa
2020-06-14;Juni;2020;322933;Diperiksa (orang);Diperiksa
2020-06-15;Juni;2020;329190;Diperiksa (orang);Diperiksa
2020-06-16;Juni;2020;339309;Diperiksa (orang);Diperiksa
2020-06-17;Juni;2020;348278;Diperiksa (orang);Diperiksa
2020-06-18;Juni;2020;358659;Diperiksa (orang);Diperiksa
2020-06-19;Juni;2020;366581;Diperiksa (orang);Diperiksa
2020-06-20;Juni;2020;376518;Diperiksa (orang);Diperiksa
2020-06-21;Juni;2020;383105;Diperiksa (orang);Diperiksa
2020-06-22;Juni;2020;393117;Diperiksa (orang);Diperiksa
2020-06-23;Juni;2020;401681;Diperiksa (orang);Diperiksa
2020-06-24;Juni;2020;413919;Diperiksa (orang);Diperiksa
2020-06-25;Juni;2020;427158;Diperiksa (orang);Diperiksa
2020-06-26;Juni;2020;439907;Diperiksa (orang);Diperiksa
2020-06-27;Juni;2020;449569;Diperiksa (orang);Diperiksa
2020-06-28;Juni;2020;456636;Diperiksa (orang);Diperiksa
2020-06-29;Juni;2020;465683;Diperiksa (orang);Diperiksa
2020-06-30;Juni;2020;477318;Diperiksa (orang);Diperiksa
2020-07-01;Juli;2020;492318;Diperiksa (orang);Diperiksa
2020-07-02;Juli;2020;503132;Diperiksa (orang);Diperiksa
2020-07-03;Juli;2020;519970;Diperiksa (orang);Diperiksa
2020-07-04;Juli;2020;529669;Diperiksa (orang);Diperiksa
2020-07-05;Juli;2020;540175;Diperiksa (orang);Diperiksa
2020-07-06;Juli;2020;552048;Diperiksa (orang);Diperiksa
2020-07-07;Juli;2020;562759;Diperiksa (orang);Diperiksa
2020-07-08;Juli;2020;575526;Diperiksa (orang);Diperiksa
2020-07-09;Juli;2020;588080;Diperiksa (orang);Diperiksa
2020-07-10;Juli;2020;597468;Diperiksa (orang);Diperiksa
2020-07-11;Juli;2020;610093;Diperiksa (orang);Diperiksa
2020-07-12;Juli;2020;621087;Diperiksa (orang);Diperiksa
2020-07-13;Juli;2020;630149;Diperiksa (orang);Diperiksa
2020-07-14;Juli;2020;642164;Diperiksa (orang);Diperiksa
2020-07-15;Juli;2020;657655;Diperiksa (orang);Diperiksa
2020-07-16;Juli;2020;669811;Diperiksa (orang);Diperiksa
2020-07-17;Juli;2020;683805;Diperiksa (orang);Diperiksa
2020-07-18;Juli;2020;697043;Diperiksa (orang);Diperiksa
2020-07-19;Juli;2020;707238;Diperiksa (orang);Diperiksa
2020-07-20;Juli;2020;720497;Diperiksa (orang);Diperiksa
2020-07-21;Juli;2020;737844;Diperiksa (orang);Diperiksa
2020-07-22;Juli;2020;749626;Diperiksa (orang);Diperiksa
2020-07-23;Juli;2020;762957;Diperiksa (orang);Diperiksa
2020-07-24;Juli;2020;777100;Diperiksa (orang);Diperiksa
2020-07-25;Juli;2020;789258;Diperiksa (orang);Diperiksa
2020-07-26;Juli;2020;796950;Diperiksa (orang);Diperiksa
2020-07-27;Juli;2020;807946;Diperiksa (orang);Diperiksa
2020-07-28;Juli;2020;823168;Diperiksa (orang);Diperiksa
2020-07-29;Juli;2020;841027;Diperiksa (orang);Diperiksa
2020-07-31;Juli;2020;866539;Diperiksa (orang);Diperiksa
2020-08-01;Agustus;2020;875894;Diperiksa (orang);Diperiksa
2020-08-02;Agustus;2020;882352;Diperiksa (orang);Diperiksa
2020-08-03;Agustus;2020;894531;Diperiksa (orang);Diperiksa
2020-08-04;Agustus;2020;907987;Diperiksa (orang);Diperiksa
2020-08-05;Agustus;2020;922709;Diperiksa (orang);Diperiksa
2020-08-06;Agustus;2020;936132;Diperiksa (orang);Diperiksa
2020-08-07;Agustus;2020;951910;Diperiksa (orang);Diperiksa
2020-08-08;Agustus;2020;963602;Diperiksa (orang);Diperiksa
2020-08-09;Agustus;2020;972594;Diperiksa (orang);Diperiksa
2020-08-10;Agustus;2020;984893;Diperiksa (orang);Diperiksa
2020-08-11;Agustus;2020;998406;Diperiksa (orang);Diperiksa
2020-08-12;Agustus;2020;1012104;Diperiksa (orang);Diperiksa
2020-08-13;Agustus;2020;1026954;Diperiksa (orang);Diperiksa
2020-08-14;Agustus;2020;1039682;Diperiksa (orang);Diperiksa
2020-08-15;Agustus;2020;1052503;Diperiksa (orang);Diperiksa
2020-08-16;Agustus;2020;1061721;Diperiksa (orang);Diperiksa
2020-08-17;Agustus;2020;1068945;Diperiksa (orang);Diperiksa
2020-08-18;Agustus;2020;1081354;Diperiksa (orang);Diperiksa
2020-08-19;Agustus;2020;1096294;Diperiksa (orang);Diperiksa
2020-08-20;Agustus;2020;1108068;Diperiksa (orang);Diperiksa
2020-08-21;Agustus;2020;1121602;Diperiksa (orang);Diperiksa
2020-08-22;Agustus;2020;1139768;Diperiksa (orang);Diperiksa
2020-08-23;Agustus;2020;1157184;Diperiksa (orang);Diperiksa
2020-08-24;Agustus;2020;1173369;Diperiksa (orang);Diperiksa
2020-08-25;Agustus;2020;1191948;Diperiksa (orang);Diperiksa
2020-08-26;Agustus;2020;1212468;Diperiksa (orang);Diperiksa
2020-08-27;Agustus;2020;1233486;Diperiksa (orang);Diperiksa
2020-08-28;Agustus;2020;1250135;Diperiksa (orang);Diperiksa
2020-08-29;Agustus;2020;1271301;Diperiksa (orang);Diperiksa
2020-08-30;Agustus;2020;1282618;Diperiksa (orang);Diperiksa
2020-08-31;Agustus;2020;1297184;Diperiksa (orang);Diperiksa
2020-02-29;Pebruari;2020;333;Diperiksa (orang/hari);Diperiksa Harian
2020-03-01;Maret;2020;6;Diperiksa (orang/hari);Diperiksa Harian
2020-03-02;Maret;2020;2;Diperiksa (orang/hari);Diperiksa Harian
2020-03-03;Maret;2020;31;Diperiksa (orang/hari);Diperiksa Harian
2020-03-04;Maret;2020;16;Diperiksa (orang/hari);Diperiksa Harian
2020-03-05;Maret;2020;62;Diperiksa (orang/hari);Diperiksa Harian
2020-03-06;Maret;2020;4;Diperiksa (orang/hari);Diperiksa Harian
2020-03-07;Maret;2020;29;Diperiksa (orang/hari);Diperiksa Harian
2020-03-08;Maret;2020;60;Diperiksa (orang/hari);Diperiksa Harian
2020-03-09;Maret;2020;151;Diperiksa (orang/hari);Diperiksa Harian
2020-03-10;Maret;2020;99;Diperiksa (orang/hari);Diperiksa Harian
2020-03-11;Maret;2020;69;Diperiksa (orang/hari);Diperiksa Harian
2020-03-12;Maret;2020;108;Diperiksa (orang/hari);Diperiksa Harian
2020-03-13;Maret;2020;228;Diperiksa (orang/hari);Diperiksa Harian
2020-03-14;Maret;2020;74;Diperiksa (orang/hari);Diperiksa Harian
2020-03-15;Maret;2020;-134;Diperiksa (orang/hari);Diperiksa Harian
2020-03-16;Maret;2020;92;Diperiksa (orang/hari);Diperiksa Harian
2020-03-17;Maret;2020;142;Diperiksa (orang/hari);Diperiksa Harian
2020-03-18;Maret;2020;220;Diperiksa (orang/hari);Diperiksa Harian
2020-03-19;Maret;2020;306;Diperiksa (orang/hari);Diperiksa Harian
2020-03-20;Maret;2020;130;Diperiksa (orang/hari);Diperiksa Harian
2020-03-21;Maret;2020;337;Diperiksa (orang/hari);Diperiksa Harian
2020-03-22;Maret;2020;73;Diperiksa (orang/hari);Diperiksa Harian
2020-03-23;Maret;2020;318;Diperiksa (orang/hari);Diperiksa Harian
2020-03-24;Maret;2020;576;Diperiksa (orang/hari);Diperiksa Harian
2020-03-25;Maret;2020;524;Diperiksa (orang/hari);Diperiksa Harian
2020-03-26;Maret;2020;480;Diperiksa (orang/hari);Diperiksa Harian
2020-03-27;Maret;2020;1439;Diperiksa (orang/hari);Diperiksa Harian
2020-03-28;Maret;2020;491;Diperiksa (orang/hari);Diperiksa Harian
2020-03-29;Maret;2020;268;Diperiksa (orang/hari);Diperiksa Harian
2020-03-30;Maret;2020;129;Diperiksa (orang/hari);Diperiksa Harian
2020-03-31;Maret;2020;114;Diperiksa (orang/hari);Diperiksa Harian
2020-04-01;April;2020;416;Diperiksa (orang/hari);Diperiksa Harian
2020-04-02;April;2020;232;Diperiksa (orang/hari);Diperiksa Harian
2020-04-03;April;2020;561;Diperiksa (orang/hari);Diperiksa Harian
2020-04-04;April;2020;1726;Diperiksa (orang/hari);Diperiksa Harian
2020-04-05;April;2020;1530;Diperiksa (orang/hari);Diperiksa Harian
2020-04-06;April;2020;1944;Diperiksa (orang/hari);Diperiksa Harian
2020-04-07;April;2020;1167;Diperiksa (orang/hari);Diperiksa Harian
2020-04-08;April;2020;2158;Diperiksa (orang/hari);Diperiksa Harian
2020-04-09;April;2020;1168;Diperiksa (orang/hari);Diperiksa Harian
2020-04-10;April;2020;1773;Diperiksa (orang/hari);Diperiksa Harian
2020-04-11;April;2020;512;Diperiksa (orang/hari);Diperiksa Harian
2020-04-12;April;2020;7111;Diperiksa (orang/hari);Diperiksa Harian
2020-04-13;April;2020;878;Diperiksa (orang/hari);Diperiksa Harian
2020-04-14;April;2020;3675;Diperiksa (orang/hari);Diperiksa Harian
2020-04-15;April;2020;1373;Diperiksa (orang/hari);Diperiksa Harian
2020-04-16;April;2020;1974;Diperiksa (orang/hari);Diperiksa Harian
2020-04-17;April;2020;2159;Diperiksa (orang/hari);Diperiksa Harian
2020-04-18;April;2020;2288;Diperiksa (orang/hari);Diperiksa Harian
2020-04-19;April;2020;2797;Diperiksa (orang/hari);Diperiksa Harian
2020-04-20;April;2020;1530;Diperiksa (orang/hari);Diperiksa Harian
2020-04-21;April;2020;2424;Diperiksa (orang/hari);Diperiksa Harian
2020-04-22;April;2020;1188;Diperiksa (orang/hari);Diperiksa Harian
2020-04-23;April;2020;1286;Diperiksa (orang/hari);Diperiksa Harian
2020-04-24;April;2020;1916;Diperiksa (orang/hari);Diperiksa Harian
2020-04-25;April;2020;1978;Diperiksa (orang/hari);Diperiksa Harian
2020-04-26;April;2020;4433;Diperiksa (orang/hari);Diperiksa Harian
2020-04-27;April;2020;2435;Diperiksa (orang/hari);Diperiksa Harian
2020-04-28;April;2020;3135;Diperiksa (orang/hari);Diperiksa Harian
2020-04-29;April;2020;5240;Diperiksa (orang/hari);Diperiksa Harian
2020-04-30;April;2020;4567;Diperiksa (orang/hari);Diperiksa Harian
2020-05-01;Mei;2020;4187;Diperiksa (orang/hari);Diperiksa Harian
2020-05-02;Mei;2020;3330;Diperiksa (orang/hari);Diperiksa Harian
2020-05-03;Mei;2020;3144;Diperiksa (orang/hari);Diperiksa Harian
2020-05-04;Mei;2020;3049;Diperiksa (orang/hari);Diperiksa Harian
2020-05-05;Mei;2020;2863;Diperiksa (orang/hari);Diperiksa Harian
2020-05-06;Mei;2020;4052;Diperiksa (orang/hari);Diperiksa Harian
2020-05-07;Mei;2020;3741;Diperiksa (orang/hari);Diperiksa Harian
2020-05-08;Mei;2020;6644;Diperiksa (orang/hari);Diperiksa Harian
2020-05-09;Mei;2020;5338;Diperiksa (orang/hari);Diperiksa Harian
2020-05-10;Mei;2020;4753;Diperiksa (orang/hari);Diperiksa Harian
2020-05-11;Mei;2020;2906;Diperiksa (orang/hari);Diperiksa Harian
2020-05-12;Mei;2020;3370;Diperiksa (orang/hari);Diperiksa Harian
2020-05-13;Mei;2020;3844;Diperiksa (orang/hari);Diperiksa Harian
2020-05-14;Mei;2020;4241;Diperiksa (orang/hari);Diperiksa Harian
2020-05-15;Mei;2020;4247;Diperiksa (orang/hari);Diperiksa Harian
2020-05-16;Mei;2020;3666;Diperiksa (orang/hari);Diperiksa Harian
2020-05-17;Mei;2020;4747;Diperiksa (orang/hari);Diperiksa Harian
2020-05-18;Mei;2020;2562;Diperiksa (orang/hari);Diperiksa Harian
2020-05-19;Mei;2020;4764;Diperiksa (orang/hari);Diperiksa Harian
2020-05-20;Mei;2020;6340;Diperiksa (orang/hari);Diperiksa Harian
2020-05-21;Mei;2020;6235;Diperiksa (orang/hari);Diperiksa Harian
2020-05-22;Mei;2020;8595;Diperiksa (orang/hari);Diperiksa Harian
2020-05-23;Mei;2020;7066;Diperiksa (orang/hari);Diperiksa Harian
2020-05-24;Mei;2020;3829;Diperiksa (orang/hari);Diperiksa Harian
2020-05-25;Mei;2020;3328;Diperiksa (orang/hari);Diperiksa Harian
2020-05-26;Mei;2020;5110;Diperiksa (orang/hari);Diperiksa Harian
2020-05-27;Mei;2020;7216;Diperiksa (orang/hari);Diperiksa Harian
2020-05-28;Mei;2020;5793;Diperiksa (orang/hari);Diperiksa Harian
2020-05-29;Mei;2020;3854;Diperiksa (orang/hari);Diperiksa Harian
2020-05-30;Mei;2020;11604;Diperiksa (orang/hari);Diperiksa Harian
2020-05-31;Mei;2020;6855;Diperiksa (orang/hari);Diperiksa Harian
2020-06-01;Juni;2020;8489;Diperiksa (orang/hari);Diperiksa Harian
2020-06-02;Juni;2020;5834;Diperiksa (orang/hari);Diperiksa Harian
2020-06-03;Juni;2020;8486;Diperiksa (orang/hari);Diperiksa Harian
2020-06-04;Juni;2020;5303;Diperiksa (orang/hari);Diperiksa Harian
2020-06-05;Juni;2020;5074;Diperiksa (orang/hari);Diperiksa Harian
2020-06-06;Juni;2020;7930;Diperiksa (orang/hari);Diperiksa Harian
2020-06-07;Juni;2020;4406;Diperiksa (orang/hari);Diperiksa Harian
2020-06-08;Juni;2020;5284;Diperiksa (orang/hari);Diperiksa Harian
2020-06-09;Juni;2020;7223;Diperiksa (orang/hari);Diperiksa Harian
2020-06-10;Juni;2020;5825;Diperiksa (orang/hari);Diperiksa Harian
2020-06-11;Juni;2020;7193;Diperiksa (orang/hari);Diperiksa Harian
2020-06-12;Juni;2020;7476;Diperiksa (orang/hari);Diperiksa Harian
2020-06-13;Juni;2020;11128;Diperiksa (orang/hari);Diperiksa Harian
2020-06-14;Juni;2020;9658;Diperiksa (orang/hari);Diperiksa Harian
2020-06-15;Juni;2020;6257;Diperiksa (orang/hari);Diperiksa Harian
2020-06-16;Juni;2020;10119;Diperiksa (orang/hari);Diperiksa Harian
2020-06-17;Juni;2020;8969;Diperiksa (orang/hari);Diperiksa Harian
2020-06-18;Juni;2020;10381;Diperiksa (orang/hari);Diperiksa Harian
2020-06-19;Juni;2020;7922;Diperiksa (orang/hari);Diperiksa Harian
2020-06-20;Juni;2020;9937;Diperiksa (orang/hari);Diperiksa Harian
2020-06-21;Juni;2020;6587;Diperiksa (orang/hari);Diperiksa Harian
2020-06-22;Juni;2020;10012;Diperiksa (orang/hari);Diperiksa Harian
2020-06-23;Juni;2020;8564;Diperiksa (orang/hari);Diperiksa Harian
2020-06-24;Juni;2020;12238;Diperiksa (orang/hari);Diperiksa Harian
2020-06-25;Juni;2020;13239;Diperiksa (orang/hari);Diperiksa Harian
2020-06-26;Juni;2020;12749;Diperiksa (orang/hari);Diperiksa Harian
2020-06-27;Juni;2020;9662;Diperiksa (orang/hari);Diperiksa Harian
2020-06-28;Juni;2020;7067;Diperiksa (orang/hari);Diperiksa Harian
2020-06-29;Juni;2020;9047;Diperiksa (orang/hari);Diperiksa Harian
2020-06-30;Juni;2020;11635;Diperiksa (orang/hari);Diperiksa Harian
2020-07-01;Juli;2020;15000;Diperiksa (orang/hari);Diperiksa Harian
2020-07-02;Juli;2020;10814;Diperiksa (orang/hari);Diperiksa Harian
2020-07-03;Juli;2020;16838;Diperiksa (orang/hari);Diperiksa Harian
2020-07-04;Juli;2020;9699;Diperiksa (orang/hari);Diperiksa Harian
2020-07-05;Juli;2020;10506;Diperiksa (orang/hari);Diperiksa Harian
2020-07-06;Juli;2020;11873;Diperiksa (orang/hari);Diperiksa Harian
2020-07-07;Juli;2020;10711;Diperiksa (orang/hari);Diperiksa Harian
2020-07-08;Juli;2020;12767;Diperiksa (orang/hari);Diperiksa Harian
2020-07-09;Juli;2020;12554;Diperiksa (orang/hari);Diperiksa Harian
2020-07-10;Juli;2020;9388;Diperiksa (orang/hari);Diperiksa Harian
2020-07-11;Juli;2020;12625;Diperiksa (orang/hari);Diperiksa Harian
2020-07-12;Juli;2020;10994;Diperiksa (orang/hari);Diperiksa Harian
2020-07-13;Juli;2020;9062;Diperiksa (orang/hari);Diperiksa Harian
2020-07-14;Juli;2020;12015;Diperiksa (orang/hari);Diperiksa Harian
2020-07-15;Juli;2020;15491;Diperiksa (orang/hari);Diperiksa Harian
2020-07-16;Juli;2020;12156;Diperiksa (orang/hari);Diperiksa Harian
2020-07-17;Juli;2020;13994;Diperiksa (orang/hari);Diperiksa Harian
2020-07-18;Juli;2020;13238;Diperiksa (orang/hari);Diperiksa Harian
2020-07-19;Juli;2020;10195;Diperiksa (orang/hari);Diperiksa Harian
2020-07-20;Juli;2020;13259;Diperiksa (orang/hari);Diperiksa Harian
2020-07-21;Juli;2020;17347;Diperiksa (orang/hari);Diperiksa Harian
2020-07-22;Juli;2020;11782;Diperiksa (orang/hari);Diperiksa Harian
2020-07-23;Juli;2020;13331;Diperiksa (orang/hari);Diperiksa Harian
2020-07-24;Juli;2020;14143;Diperiksa (orang/hari);Diperiksa Harian
2020-07-25;Juli;2020;12158;Diperiksa (orang/hari);Diperiksa Harian
2020-07-26;Juli;2020;7692;Diperiksa (orang/hari);Diperiksa Harian
2020-07-27;Juli;2020;10996;Diperiksa (orang/hari);Diperiksa Harian
2020-07-28;Juli;2020;15222;Diperiksa (orang/hari);Diperiksa Harian
2020-07-29;Juli;2020;17859;Diperiksa (orang/hari);Diperiksa Harian
2020-07-31;Juli;2020;25512;Diperiksa (orang/hari);Diperiksa Harian
2020-08-01;Agustus;2020;9355;Diperiksa (orang/hari);Diperiksa Harian
2020-08-02;Agustus;2020;6458;Diperiksa (orang/hari);Diperiksa Harian
2020-08-03;Agustus;2020;12179;Diperiksa (orang/hari);Diperiksa Harian
2020-08-04;Agustus;2020;13456;Diperiksa (orang/hari);Diperiksa Harian
2020-08-05;Agustus;2020;14722;Diperiksa (orang/hari);Diperiksa Harian
2020-08-06;Agustus;2020;13423;Diperiksa (orang/hari);Diperiksa Harian
2020-08-07;Agustus;2020;15778;Diperiksa (orang/hari);Diperiksa Harian
2020-08-08;Agustus;2020;11692;Diperiksa (orang/hari);Diperiksa Harian
2020-08-09;Agustus;2020;8992;Diperiksa (orang/hari);Diperiksa Harian
2020-08-10;Agustus;2020;12299;Diperiksa (orang/hari);Diperiksa Harian
2020-08-11;Agustus;2020;13513;Diperiksa (orang/hari);Diperiksa Harian
2020-08-12;Agustus;2020;13698;Diperiksa (orang/hari);Diperiksa Harian
2020-08-13;Agustus;2020;14850;Diperiksa (orang/hari);Diperiksa Harian
2020-08-14;Agustus;2020;12728;Diperiksa (orang/hari);Diperiksa Harian
2020-08-15;Agustus;2020;12821;Diperiksa (orang/hari);Diperiksa Harian
2020-08-16;Agustus;2020;9218;Diperiksa (orang/hari);Diperiksa Harian
2020-08-17;Agustus;2020;7224;Diperiksa (orang/hari);Diperiksa Harian
2020-08-18;Agustus;2020;12409;Diperiksa (orang/hari);Diperiksa Harian
2020-08-19;Agustus;2020;14940;Diperiksa (orang/hari);Diperiksa Harian
2020-08-20;Agustus;2020;11774;Diperiksa (orang/hari);Diperiksa Harian
2020-08-21;Agustus;2020;13534;Diperiksa (orang/hari);Diperiksa Harian
2020-08-22;Agustus;2020;18166;Diperiksa (orang/hari);Diperiksa Harian
2020-08-23;Agustus;2020;17416;Diperiksa (orang/hari);Diperiksa Harian
2020-08-24;Agustus;2020;16185;Diperiksa (orang/hari);Diperiksa Harian
2020-08-25;Agustus;2020;18579;Diperiksa (orang/hari);Diperiksa Harian
2020-08-26;Agustus;2020;20520;Diperiksa (orang/hari);Diperiksa Harian
2020-08-27;Agustus;2020;21018;Diperiksa (orang/hari);Diperiksa Harian
2020-08-28;Agustus;2020;16649;Diperiksa (orang/hari);Diperiksa Harian
2020-08-29;Agustus;2020;21166;Diperiksa (orang/hari);Diperiksa Harian
2020-08-30;Agustus;2020;11317;Diperiksa (orang/hari);Diperiksa Harian
2020-08-31;Agustus;2020;14566;Diperiksa (orang/hari);Diperiksa Harian
2020-02-29;Pebruari;2020;0;CREC(%);Koefisien Ekspansi
2020-03-01;Maret;2020;0;CREC(%);Koefisien Ekspansi
2020-03-02;Maret;2020;100;CREC(%);Koefisien Ekspansi
2020-03-03;Maret;2020;100;CREC(%);Koefisien Ekspansi
2020-03-04;Maret;2020;100;CREC(%);Koefisien Ekspansi
2020-03-05;Maret;2020;0;CREC(%);Koefisien Ekspansi
